"","cell","obstime","condition","capture"
"1","GSM734540",2,"Botrytis","2"
"2","GSM734541",4,"Botrytis","4"
"3","GSM734542",6,"Botrytis","6"
"4","GSM734543",8,"Botrytis","8"
"5","GSM734544",10,"Botrytis","10"
"6","GSM734545",12,"Botrytis","12"
"7","GSM734546",14,"Botrytis","14"
"8","GSM734547",16,"Botrytis","16"
"9","GSM734548",18,"Botrytis","18"
"10","GSM734549",20,"Botrytis","20"
"11","GSM734550",22,"Botrytis","22"
"12","GSM734551",24,"Botrytis","24"
"13","GSM734552",26,"Botrytis","26"
"14","GSM734553",28,"Botrytis","28"
"15","GSM734554",30,"Botrytis","30"
"16","GSM734555",32,"Botrytis","32"
"17","GSM734556",34,"Botrytis","34"
"18","GSM734557",36,"Botrytis","36"
"19","GSM734558",38,"Botrytis","38"
"20","GSM734559",40,"Botrytis","40"
"21","GSM734560",42,"Botrytis","42"
"22","GSM734561",44,"Botrytis","44"
"23","GSM734562",46,"Botrytis","46"
"24","GSM734563",48,"Botrytis","48"
"25","GSM734564",2,"Mock","2"
"26","GSM734565",4,"Mock","4"
"27","GSM734566",6,"Mock","6"
"28","GSM734567",8,"Mock","8"
"29","GSM734568",10,"Mock","10"
"30","GSM734569",12,"Mock","12"
"31","GSM734570",14,"Mock","14"
"32","GSM734571",16,"Mock","16"
"33","GSM734572",18,"Mock","18"
"34","GSM734573",20,"Mock","20"
"35","GSM734574",22,"Mock","22"
"36","GSM734575",24,"Mock","24"
"37","GSM734576",26,"Mock","26"
"38","GSM734577",28,"Mock","28"
"39","GSM734578",30,"Mock","30"
"40","GSM734579",32,"Mock","32"
"41","GSM734580",34,"Mock","34"
"42","GSM734581",36,"Mock","36"
"43","GSM734582",38,"Mock","38"
"44","GSM734583",40,"Mock","40"
"45","GSM734584",42,"Mock","42"
"46","GSM734585",44,"Mock","44"
"47","GSM734586",46,"Mock","46"
"48","GSM734587",48,"Mock","48"
